
Dealership/Business Name,Full Address,City/District,Phone,Email,Website,Social Media,EV Brands Offered,EV Models Available,Type of Cars,Languages Spoken,Approximate Price Range,Notes,Citations
ECA Electric Cars Albania,"Autostrada Tiranë-Elbasan KM.2 (TEG-Tiranë, Godina Park Place)",Tirana,+355 67 40 23 808,info@eca.al,https://eca.al,Instagram: @electric_cars_albania; Facebook; Twitter; YouTube,"Tesla, Toyota, Honda, Volkswagen, SRM","Honda e‑NS1, VW ID.3 Pure, VW ID.4 Pro/Pro Performance, VW ID.6 Pro Performance, Toyota BZ4X, Tesla Model Y Dual Motor, SRM Van",New,"Albanian, English",,Showroom near TEG; test drive booking available; chargers and services,https://eca.al/na-kontaktoni/#:~:text=Autostrada%20Tiran%C3%AB,Park%20Placehttps://eca.al/#:~:text=
Tirana Electric Motors,Autostrada Tiranë – Durrës KM.5,Tirana,+355 69 20 63 834,,https://tiranaelectricmotors.com,Instagram: Tirana Electric Motors,"Neta Auto (official distributor), BYD, Volkswagen, Maxus, Audi, Xpeng","BYD Song Plus, BYD Yuan Plus, BYD Tang L, Volkswagen ID.3 Pure Long Range, Volkswagen ID.6 X Pro, Maxus Dana V1, Audi Q4 e‑Tron, Xpeng G9, BYD Sealion 07",New,"Albanian, English","€18,999–33,999 (example prices on site)",Official distributor of Neta Auto; provides charging stations and technical assistance,https://tiranaelectricmotors.com/#:~:text=Autostrada%20Tiran%C3%AB%20https://tiranaelectricmotors.com/#:~:text=,BYD%20YUAN%20PLUS%2018%2C999%20%E2%82%AChttps://tiranaelectricmotors.com/#:~:text=Tirana%20Electric%20Motors%20%C3%ABsht%C3%AB%20tashm%C3%AB,vje%C3%A7are%20dhe%20servis%20t%C3%AB%20autorizuar
Panda Electric Motors,"Fshati Mëzez, Njësia Administrative Kashar, Tiranë (Nr pasurisë 42/33 ZK 2679)",Tirana (Kashar),+355 68 902 5777,ebegaj3@gmail.com,N/A (former pe‑motors.com),Instagram: @panda_electric_motors; Facebook,"Various Chinese EV brands (e.g., BYD, Aion, Zeekr)","Various models such as BYD Tang, BYD Yuan Plus, Aion V, Aion Y (based on social media promotions)",New,Albanian,,Specializes in importing new EVs with 0 km; offers service and parts,https://opencorporates.al/sq/nipt/m41905012b#:~:text=Seli%2FZyra%20Qendrore%3A%20Tiran%C3%AB%2C%20Nj%C3%ABsia%20Administrative%3A,2%20faqe%2075
AutoEuropa,"Autostrada Km 5, Durrës – Tiranë, Durrës 2019, Albania (Sukth)",Durrës,+355 69 700 6655,info@autoeuropa.com.al,https://autoeuropa.com.al,Facebook: AutoEuropa; Instagram,Volkswagen,"Volkswagen ID.4 Pro, Volkswagen ID.6 Pro, Volkswagen ID.3 Pure",New (some used vehicles may be available),"Albanian, English","€27,900–46,900 (example prices on site)",Showroom in Sukth near Durrës; 24/7 customer support,https://autoeuropa.com.al/sq/contact-us#:~:text=https://autoeuropa.com.al/#:~:text=
Go Electric Albania,"Rruga Dervish Hima 3, Kullat, Kulla Nr 3, Kati 1, Zona Kadastrale nr 8160, nr Pasurie 6/121‑N21, Tirana",Tirana,+355 67 208 3625,gfc_al@yahoo.com; Xhorxhdusha@icloud.com,N/A (company page only),Instagram: @goelectric_albania; Facebook,"Various EV brands (BYD, Avatr, Zeekr, Denza, etc.)","Multiple models advertised on social media (e.g., Denza N8, Avatr 12, BYD Sealion)",New,Albanian,,Provides 5‑year/100 000 km warranty on vehicles; imports and sells EVs,https://opencorporates.al/en/nipt/m32119018e#:~:text=Seat%3A%20Tirane%2C%20ZONA%20KADASTRALE%20NR,NR%203%20KATI%201%20TIRANE%E2%80%9D
SENA EV SH.P.K (Sena Electric Vehicle),"Qereke, Krujë (Zona Kadastrale nr 3096, Pasuri nr 103/15)",Krujë (near Tirana),+355 69 347 3384,senaelectricvehicle@gmail.com,http://www.senaelectricvehicle.al,Instagram: @sena.electricvehicle; Facebook,Various imported EVs,"BYD Song L, BYD Sealion, Avatr, Aion series, etc. (per social media)",New,Albanian,,Offers vehicles by order; provides maintenance and repair services,https://opencorporates.al/sq/nipt/m44518201l#:~:text=Seli%2FZyra%20Qendrore%3A%20Qereke%20Kruje%2C%20Zona,3096%20Pasuri%20me%20Nr%20103%2F15
Electric Vehicle Albania (EVA),"Rruga Pjeter Bogdani, Lagja 14, Yzberish (Njesi Sherbimi nr 14, ground floor), Tirana 1050",Tirana (Yzberish),+355 69 581 0531,electricvehiclealbania@gmail.com,,Instagram: @eva_auto_electric; Facebook,"Various Chinese EVs (BYD, Aion, Zeekr, Hozon, etc.)","BYD G9 Max, Zeekr X, Aion V Pro, Aion Y Plus, BYD Song Plus, BYD Yuan Plus",New,Albanian,,Sells 100% electric cars with 0 km; offers WhatsApp contact for quotes,https://www.opencorporates.al/sq/nipt/m41519001v#:~:text=Tirane%20Yzberish%20Njesi%20Sherbimi%20nr,k%202679%2C%20Tirane%201050
Connect Drive (BYD Electric Cars Albania),"Siri Kodra Street, Tirana, Albania",Tirana,+355 69 941 4270,info@connectgroup.al,https://connectdrive.al,Instagram: @connectdrive_ ; Facebook,BYD,"BYD Atto 3, BYD Dolphin, BYD Han EV, BYD Song, BYD Seagull, BYD Sealion, BYD Yuan",New (custom orders),"Albanian, English",,Official BYD partner in Albania with up to 6‑year warranty; offers custom orders and full support,https://connectdrive.al/#:~:text=Compact%20SUV%20BYD%20Atto%203,View%20Details%20%26%20Get%20Quotehttps://connectdrive.al/#:~:text=
Albanian Motor Company (Hyundai),"Autostrada Tiranë – Durrës, Km 2, Mëzez, Tiranë",Tirana (Mëzez),+355 67 40 44 406 (sales salon); +355 67 55 22 266 (service),,https://www.hyundai.al,Instagram: @hyundaimotors.albania; Facebook,Hyundai,"Kona e re Electric, IONIQ 5, IONIQ 6, Tucson Hybrid",New,"Albanian, English",,"Official Hyundai dealer; provides sales, service and test drives; 5‑year warranty",https://www.hyundai.al/sallon-dhe-sherbim#:~:text=Salloni%20i%20shitjes%20n%C3%AB%20Tiran%C3%AB%2F,Sales%20salon%20Tiranahttps://www.hyundai.al/#:~:text=Kona%20e%20re%20Electric
MG Motor Albania,"Auto. Tirana – Durres, Km 10, Kashar, Tirana",Tirana (Kashar),+355 69 440 1111 (sales contact),mg@grandautomotive.hr,https://www.mgmotor.al,Instagram: @mgmotoralbania; Facebook,MG Motor,"MG ZS EV, MG 4, MG 5, MG Marvel R, MG EHS (plug‑in hybrid)",New,"Albanian, English",,Part of Albanian Motor Company; sells electric and hybrid MG models,https://www.mgmotor.al/#:~:text=MG%20MOTOR%20ALBANIAhttps://www.mgmotor.al/#:~:text=Electric
iDrive,"Rruga e Kavajes, nd. 4, h. 3, nr 26, Tirane",Tirana,+355 69 70 23 802 (WhatsApp) ; +355 69 702 3802,gimitoska@yahoo.com,,Instagram: @idrive_ev; Facebook,Various EV brands (import/resell),Varies (imports EVs on demand),New and used,Albanian,,Importer and reseller of electric vehicles; sells EVs through social media and classifieds,https://opencorporates.al/sq/nipt/m42109015a#:~:text=NIPT%3A%20M42109015A%20Administrator%3A%20%20Agim,i%20pajisjeve%20elektronike%2C%20elektrosht%C3%ABpiake%20t%C3%ABhttps://opencorporates.al/sq/nipt/m42109015a#:~:text=Adresa%3A
Mechatronic Auto,"Kashar, Albania",Tirana (Kashar),+355 69 10 00 00 01,info@mechatronicauto.al,https://mechatronicauto.al,Instagram: @mechatronicauto; Facebook,"BYD, AutoEV (electric scooters/bikes)","BYD Dolphin, AutoEV R200, AutoEV R300 and other EVs",New,"Albanian, English",,"Provides EV sales, service and charging solutions; sells electric cars and scooters",https://mechatronicauto.al/#:~:text=
