
Model,Brand,Body Type,Battery (kWh),Range (km),Power (kW),Torque (Nm),Acceleration 0-100 km/h (s),Top Speed (km/h),Drive Type,Seats,Charging (AC/DC),Notes,Citation
Honda e:Ny1 (e:NS1),Honda,Compact SUV,68.8 (61.9 usable),335 real / 412 WLTP,150.0,310.0,7.6,160.0,FWD,5,11 kW AC / 150 kW DC,Nominal battery 68.8 kWh; usable 61.9 kWh; EV with single motor,https://ev-database.org/car/1940/Honda-eNy1#:~:text=Batteryhttps://ev-database.org/car/1940/Honda-eNy1#:~:text=route%20conditions
Volkswagen ID.3 Pro,Volkswagen,Hatchback,62 (58 usable),350 real / 429 WLTP,150.0,310.0,7.3,160.0,RWD,5,11 kW AC / 120 kW DC,Compact electric hatchback; produced since 2023/2024,https://ev-database.org/car/1831/Volkswagen-ID3-Pro#:~:text=Battery
Volkswagen ID.4 Pro (MY24-25),Volkswagen,Mid-size SUV,82 (77 usable),445 real / 574 WLTP,210.0,545.0,6.7,180.0,AWD,5,11 kW AC / 175 kW DC,Updated 2024-2025 version; dual-motor performance,https://ev-database.org/car/2028/Volkswagen-ID4-Pro#:~:text=Batteryhttps://ev-database.org/car/2028/Volkswagen-ID4-Pro#:~:text=EVDB%20Real%20Range
Volkswagen ID.4 Pro Performance (2021-23),Volkswagen,Mid-size SUV,82 (77 usable),410 real,150.0,310.0,8.5,160.0,RWD,5,11 kW AC / 135 kW DC,Earlier performance version with single motor,https://ev-database.org/car/1314/Volkswagen-ID4-Pro-Performance#:~:text=Battery
Volkswagen ID.6 X Pro,Volkswagen,Large SUV,83.4,588,152.0,,6.6,160.0,AWD,7,AC/DC not specified,Chinese-market large SUV with three rows; battery 83.4 kWh,https://ev.motorwatt.com/ev-database/database-electric-cars/volkswagen-id-6-x-pro#:~:text=Starting%20price%3A%20US%24%2037500%20https://ev.motorwatt.com/ev-database/database-electric-cars/volkswagen-id-6-x-pro#:~:text=,horizons%20but%20to%20redefine%20them
Toyota bZ4X AWD,Toyota,Compact SUV,71.4 (64 usable),345 real / 461 WLTP,160.0,336.0,6.9,160.0,AWD,5,11 kW AC / 150 kW DC,Toyota’s first dedicated EV; uses Subaru co-developed platform,https://ev-database.org/car/1565/Toyota-bZ4X-AWD#:~:text=Battery
Tesla Model Y Long Range AWD,Tesla,Mid-size SUV,78.1 (75 usable),445 real / 542 WLTP,378.0,493.0,5.0,217.0,AWD,5,11 kW AC / 250 kW DC,Popular crossover with dual motors and high performance,https://ev-database.org/car/1619/Tesla-Model-Y-Long-Range-AWD#:~:text=Battery
BYD Atto 3 (Yuan Plus),BYD,Compact SUV,60.5,510,150.0,310.0,7.3,160.0,FWD,5,6.6 kW AC / 80 kW DC,Uses BYD Blade battery; FWD crossover; CLTC range provided,https://byd.com.jo/node/795/#:~:text=The%20BYD%20Atto%203%20%2860,free
BYD Dolphin (60.4 kWh),BYD,Hatchback,60.4,427,150.0,310.0,7.0,160.0,FWD,5,AC unspecified / 88 kW DC,Compact electric hatchback; uses BYD blade battery,https://evkx.net/models/byd/dolphin/dolphin_60.4kwh/specifications/#:~:text=Performance
BYD Han EV,BYD,Luxury Sedan,85.4 (83.0 usable),521,380.0,700.0,3.9,180.0,AWD,5,7 kW AC / 120 kW DC,High-performance luxury EV sedan; 0–100 in 3.9 s,https://evkx.net/models/byd/han/han/#:~:text=The%20BYD%20Han%20delivers%20a,it%20competitive%20within%20its%20class
Zeekr X Privilege AWD,Zeekr,Compact SUV,69 (64 usable),400,315.0,543.0,3.8,180.0,AWD,5,AC unspecified / 150 kW DC,Premium compact crossover; dual-motor AWD,https://evkx.net/models/zeekr/x/x_privilege_awd/#:~:text=The%20Zeekr%20X%20Privilege%20AWD,it%20competitive%20within%20its%20classhttps://evkx.net/models/zeekr/x/x_privilege_awd/#:~:text=The%20Zeekr%20X%20Privilege%20AWD%2C,of%20the%20compact%20size%20and
SRM T3L EV,SRM,Cargo Van,4,290,61.0,,,80.0,FWD,2,Unknown,Light electric cargo van; specs may be inaccurate (battery likely larger),https://ev.motorwatt.com/ev-database/database-electric-trucks/srm-t3l-ev#:~:text=The%20SRM%20T3L%20EV%20is,minutes%20using%20DC%20fast%20charging
BYD Tang AWD,BYD,Full-size SUV,89 (86.4 usable),400,380.0,680.0,4.6,180.0,AWD,7,7.4 kW AC / 110 kW DC,Large seven-seat SUV; uses Blade battery; WLTP range 400 km,https://www.evspecs.org/tech-specs/byd/tang/awd-86-kwh#:~:text=Battery%20Capacity%20Gross%2FUseable%2089%2F86https://www.evspecs.org/tech-specs/byd/tang/awd-86-kwh#:~:text=,Charging
BYD Song Plus EV,BYD,Mid-size SUV,71.7,505,137.0,280.0,7.7,180.0,FWD,5,6.6 kW AC / 90 kW DC,BYD mid-size electric SUV; uses Blade battery; CLTC range 505 km,https://licarco.com/byd-song-plus-ev#:~:text=FWD
BYD Song L,BYD,Large Hatchback/SUV,87,662,386.0,,4.3,201.0,AWD,5,Unknown,High-performance electric crossover; information from Motorwatt,https://ev.motorwatt.com/ev-database/database-electric-cars/byd-song-l#:~:text=Starting%20price%3A%20US%24%2030100%20
GAC Aion Y Plus,GAC Aion,Compact MPV/SUV,63,610,150.0,,8.5,150.0,FWD,5,Unknown,Chinese MPV-style EV; CLTC range 610 km,https://ev.motorwatt.com/ev-database/database-electric-cars/gac-aion-y-plus#:~:text=The%20Aion%20Y%20Plus%20is,value%20for%20EV%20shoppers%20worldwide
GAC Aion V,GAC Aion,Compact SUV,72.3,600,135.0,,7.7,175.0,FWD,5,Unknown,Aion compact SUV; CLTC range 600 km,https://ev.motorwatt.com/ev-database/database-electric-cars/gac-aion-v-fwd-72-3-kwh#:~:text=Starting%20price%3A%20US%24%2033060%20
Denza N8 PHEV,Denza (BYD),Luxury SUV (Plug-in Hybrid),45.8,216 electric / 1030 total,360.0,675.0,4.3,190.0,AWD (PHEV),7,90 kW DC,Plug-in hybrid SUV with BYD Blade battery; NEDC electric range 216 km,https://carnewschina.com/2023/08/23/byds-denza-n8-electric-7-seater-started-deliveries-in-china-with-482-hp/#:~:text=The%20Denza%20N8%20design%20is,generation%20of%20BYD%20Tang%20SUV
Avatr 12 RWD,Avatr,Executive Sedan,94.5,700,230.0,370.0,6.7,215.0,RWD,5,Unknown,Luxurious sedan by Avatr; uses CATL battery; RWD variant,https://cnevpost.com/car/avatr-12-specs/#:~:text=0,5
